date,name,DOW
1/1/2010,New Year Day,Fri
1/18/2010,Martin Luther King Jr. Day,Mon
2/15/2010,Presidents Day (Washingtons Birthday),Mon
5/31/2010,Memorial Day,Mon
7/5/2010,Independence Day,Mon
9/6/2010,Labor Day,Mon
10/11/2010,Columbus Day,Mon
11/11/2010,Veterans Day,Thu
11/25/2010,Thanksgiving Day,Thu
12/24/2010,Christmas Day,Fri
12/31/2010,New Year Day,Fri
1/17/2011,Martin Luther King Jr. Day,Mon
2/21/2011,Presidents Day (Washingtons Birthday),Mon
5/30/2011,Memorial Day,Mon
7/4/2011,Independence Day,Mon
9/5/2011,Labor Day,Mon
10/10/2011,Columbus Day,Mon
11/11/2011,Veterans Day,Fri
11/24/2011,Thanksgiving Day,Thu
12/26/2011,Christmas Day,Mon
1/2/2012,New Year Day,Mon
1/16/2012,Martin Luther King Jr. Day,Mon
2/20/2012,Presidents Day (Washingtons Birthday),Mon
5/28/2012,Memorial Day,Mon
7/4/2012,Independence Day,Wed
9/3/2012,Labor Day,Mon
10/8/2012,Columbus Day,Mon
11/12/2012,Veterans Day,Mon
11/22/2012,Thanksgiving Day,Thu
12/25/2012,Christmas Day,Tue
1/1/2013,New Year Day,Tue
1/21/2013,Martin Luther King Jr. Day,Mon
2/18/2013,Presidents Day (Washingtons Birthday),Mon
5/27/2013,Memorial Day,Mon
7/4/2013,Independence Day,Thu
9/2/2013,Labor Day,Mon
10/14/2013,Columbus Day,Mon
11/11/2013,Veterans Day,Mon
11/28/2013,Thanksgiving Day,Thu
12/25/2013,Christmas Day,Wed
1/1/2014,New Year Day,Wed
1/20/2014,Martin Luther King Jr. Day,Mon
2/17/2014,Presidents Day (Washingtons Birthday),Mon
5/26/2014,Memorial Day,Mon
7/4/2014,Independence Day,Fri
9/1/2014,Labor Day,Mon
10/13/2014,Columbus Day,Mon
11/11/2014,Veterans Day,Tue
11/27/2014,Thanksgiving Day,Thu
12/25/2014,Christmas Day,Thu
1/1/2015,New Year Day,Thu
1/19/2015,Martin Luther King Jr. Day,Mon
2/16/2015,Presidents Day (Washingtons Birthday),Mon
5/25/2015,Memorial Day,Mon
7/3/2015,Independence Day,Fri
9/7/2015,Labor Day,Mon
10/12/2015,Columbus Day,Mon
11/11/2015,Veterans Day,Wed
11/26/2015,Thanksgiving Day,Thu
12/25/2015,Christmas Day,Fri
1/1/2016,New Year Day,Fri
1/18/2016,Martin Luther King Jr. Day,Mon
2/15/2016,Presidents Day (Washingtons Birthday),Mon
5/30/2016,Memorial Day,Mon
7/4/2016,Independence Day,Mon
9/5/2016,Labor Day,Mon
10/10/2016,Columbus Day,Mon
11/11/2016,Veterans Day,Fri
11/24/2016,Thanksgiving Day,Thu
12/26/2016,Christmas Day,Mon
1/2/2017,New Year Day,Mon
1/16/2017,Martin Luther King Jr. Day,Mon
2/20/2017,Presidents Day (Washingtons Birthday),Mon
5/29/2017,Memorial Day,Mon
7/4/2017,Independence Day,Tue
9/4/2017,Labor Day,Mon
10/9/2017,Columbus Day,Mon
11/10/2017,Veterans Day,Fri
11/23/2017,Thanksgiving Day,Thu
12/25/2017,Christmas Day,Mon
1/1/2018,New Year Day,Mon
1/15/2018,Martin Luther King Jr. Day,Mon
2/19/2018,Presidents Day (Washingtons Birthday),Mon
5/28/2018,Memorial Day,Mon
7/4/2018,Independence Day,Wed
9/3/2018,Labor Day,Mon
10/8/2018,Columbus Day,Mon
11/12/2018,Veterans Day,Mon
11/22/2018,Thanksgiving Day,Thu
12/25/2018,Christmas Day,Tue
1/1/2019,New Year Day,Tue
1/21/2019,Martin Luther King Jr. Day,Mon
2/18/2019,Presidents Day (Washingtons Birthday),Mon
5/27/2019,Memorial Day,Mon
7/4/2019,Independence Day,Thu
9/2/2019,Labor Day,Mon
10/14/2019,Columbus Day,Mon
11/11/2019,Veterans Day,Mon
11/28/2019,Thanksgiving Day,Thu
12/25/2019,Christmas Day,Wed
1/1/2020,New Year Day,Wed
1/20/2020,Martin Luther King Jr. Day,Mon
2/17/2020,Presidents Day (Washingtons Birthday),Mon
5/25/2020,Memorial Day,Mon
7/3/2020,Independence Day,Fri
9/7/2020,Labor Day,Mon
10/12/2020,Columbus Day,Mon
11/11/2020,Veterans Day,Wed
11/26/2020,Thanksgiving Day,Thu
12/25/2020,Christmas Day,Fri
